SECID,ISIN,SHORTNAME,RATING,RATING_SCORE,YEARS_TO_MATURITY,MATDATE,FACEVALUE,LASTPRICE,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,ACCRUEDINT,COUPONPERCENT,YTM_PCT,CURRENT_YIELD_PCT
RU000A1008J4,RU000A1008J4,Систем1P10,AA-,3.0,2.9,2029-03-23,1000,98.87,988.7,1039.99,51.29,16.0,18.08,16.18
RU000A1008P1,RU000A1008P1,Роснфт2P6,AAA,0.0,2.9,2029-03-23,1000,93.5,935.0,963.85,28.85,9.0,12.19,9.63
RU000A1008Q9,RU000A1008Q9,Роснфт2P7,AAA,0.0,2.9,2029-03-23,1000,,,,28.85,9.0,0.0,
RU000A1008V9,RU000A1008V9,РОСНАНО 8,Нет данных,,1.92,2028-03-27,1000,91.52,915.2,966.65,51.45,16.05,20.49,17.54
RU000A1008Y3,RU000A1008Y3,ПочтаРБ1P7,AA,2.0,2.92,2029-03-27,1000,101.87,1018.7,1078.0,59.3,18.5,16.86,18.16
RU000A1009L8,RU000A1009L8,РЖД 1Р-15R,AAA,0.0,0.94,2027-04-07,1000,97,970.0,998.21,28.21,8.8,12.78,9.07
RU000A1009Z8,RU000A1009Z8,О'КЕЙ Б1Р2,A-,6.0,2.94,2029-04-06,1000,86.47,864.7,896.75,32.05,10.0,16.8,11.56
RU000A100B73,RU000A100B73,МЕТАЛИНБ09,AA+,1.0,2.97,2029-04-16,1000.0,,,,0.0,,,
RU000A100CN3,RU000A100CN3,Якут-12 об,A+,4.0,0.04,2026-05-13,200,99.97,199.94,205.45,5.51,8.59,9.49,8.59
RU000A100DG5,RU000A100DG5,ЕвропланБ6,AA,2.0,3.05,2029-05-15,400,105.6,422.4,451.25,28.85,22.5,12.25,21.31
RU000A100DQ4,RU000A100DQ4,ИА ДОМ 9P2,AAA,0.0,2.94,2029-04-05,111.72,93.16,104.08,107.48,3.4,9.5,0.0,10.2
RU000A100DZ5,RU000A100DZ5,СовкомБОП1,AA,2.0,3.06,2029-05-17,1000,101.14,1011.4,1059.48,48.08,15.0,11.86,14.83
RU000A100ET6,RU000A100ET6,ДОМ 1P-6R,AAA,0.0,13.04,2039-05-12,1000,100.18,1001.8,1052.13,50.33,15.7,13.89,15.67
RU000A100EV2,RU000A100EV2,iУОМЗ Б-П1,A-,6.0,3.07,2029-05-24,1000,99.29,992.9,993.22,0.32,0.1,7.82,0.1
RU000A100FE5,RU000A100FE5,ГТЛК 1P-14,AA-,3.0,8.08,2034-05-25,1000,97.81,978.1,1014.61,36.51,11.39,18.91,11.65
RU000A100HY9,RU000A100HY9,РЖД 1Р-16R,AAA,0.0,0.16,2026-06-25,1000,98.78,987.8,1013.12,25.32,7.9,16.38,8.0
RU000A100KY3,RU000A100KY3,Роснфт2P8,AAA,0.0,3.18,2029-07-02,1000,91.74,917.4,946.25,28.85,9.0,12.57,9.81
RU000A100L55,RU000A100L55,МТС 1P-11,AAA,0.0,0.2,2026-07-08,1000,,,,25.32,7.9,0.0,
RU000A100ME1,RU000A100ME1,АРАГОН БП2,Нет данных,,3.2,2029-07-10,1000,103,1030.0,1113.34,83.34,26.0,18.71,25.24
RU000A100MZ6,RU000A100MZ6,СберИОС119,AAA,0.0,5.88,2032-03-15,1000,102,1020.0,1020.05,0.05,0.016,0.0,0.02
RU000A100N12,RU000A100N12,Систем1P11,AA-,3.0,3.22,2029-07-16,1000,91.79,917.9,952.84,34.94,10.9,19.47,11.87
RU000A100PB0,RU000A100PB0,ЖКХРСЯ БО1,C,,0.25,2026-07-28,1000,97.11,971.1,1044.83,73.73,23.0,40.67,23.68
RU000A100Q35,RU000A100Q35,ПР-Лиз 1P3,BBB+,7.0,0.19,2026-07-07,1000,100.24,1002.4,1063.3,60.9,19.0,19.22,18.95
RU000A100Q50,RU000A100Q50,Самолет1P5,A-,6.0,3.26,2029-07-31,1000,99.88,998.8,1059.7,60.9,19.0,25.41,19.02
